customer_id,age,gender,date,location,num_items,avg_price
47305,43,F,1/1/23,"1600 Montclair Rd, Birmingham, AL 35210",11,11.67
45339,22,F,1/1/23,"6885 S Suncoast Blvd, Homosassa, FL 34446",9,1.75
49117,35,M,1/1/23,"79295 CA-111, La Quinta, CA 92253",13,4.19
59531,52,F,1/1/23,"2800 NC-24 #87, Cameron, NC 28326",17,6.24
45476,40,F,1/1/23,"304 S Rockwood Dr, Cabot, AR 72023",8,8.15
57575,35,M,1/1/23,"5450 New Hope Commons Dr, Durham, NC 27707",7,10.69
47753,45,M,1/1/23,"5335 US-280, Birmingham, AL 35242",12,20.28
45169,28,,1/1/23,"1900 S 1st St, Artesia, NM 88210",9,6.69
53506,50,F,1/1/23,"2461 E Gulf To Lake Hwy, Inverness, FL 34453",10,4.19
58968,19,M,1/1/23,"2400 W Picacho Ave, Las Cruces, NM 88007",12,13.86
41027,44,,1/1/23,"340 Norman Dr, Valdosta, GA 31601",13,9.59
47808,18,M,1/1/23,"8322 Pineville-Matthews Rd, Charlotte, NC 28226",11,8.82
73146,34,F,1/1/23,"1550 Nashville Rd, Franklin, KY 42134",12,12.12
56696,39,M,1/1/23,"5469 S Redwood Rd, Taylorsville, UT 84123",17,9.08
42300,33,F,1/1/23,"204 N Anderson Ln, Hendersonville, TN 37075",9,11.17
52809,43,M,1/1/23,"304 S Rockwood Dr, Cabot, AR 72023",9,8.77
58563,23,M,1/1/23,"915 E Randol Mill Rd, Arlington, TX 76011",13,5.33
53615,32,M,1/1/23,"6100 Paseo Del Norte Blvd NE, Albuquerque, NM 87113",12,2.95
59246,54,M,1/1/23,"585 N State St, Lindon, UT 84042",8,11.25
30812,22,M,1/1/23,"9248 Parkway E, Birmingham, AL 35206",10,15.35
38732,36,M,1/1/23,"150 Altama Connector, Brunswick, GA 31525",10,9.13
64960,35,F,1/1/23,"300 Pleasant Grove Rd Ste 600, Mount Juliet, TN 37122",14,13.7
44965,27,M,1/1/23,"2100 Chapel Hill Rd, Columbia, MO 65201",16,4.46
52011,22,M,1/1/23,"5511 Murfreesboro Rd, La Vergne, IL 37086",10,21.26
56153,18,F,1/1/23,"200 Walmart Way, Avon, IN 46123",15,2.68
38086,47,F,1/2/23,"300 Pleasant Grove Rd Ste 600, Mount Juliet, IL 61522",9,4.52
51064,57,M,1/2/23,"32225 Temecula Pkwy, Temecula, CA 92592",12,3.99
44006,28,M,1/2/23,,8,13.05
31989,50,M,1/2/23,"2461 E Gulf To Lake Hwy, Inverness, FL 34453",10,8
37100,40,M,1/2/23,"304 S Rockwood Dr, Cabot, AR 72023",12,14.52
53673,53,M,1/2/23,"32225 Temecula Pkwy, Temecula, CA 92592",15,7.05
60830,41,M,1/2/23,"1861 S San Jacinto Ave, San Jacinto, CA 92583",10,3.71
46796,35,M,1/2/23,"2100 Vista Way, Oceanside, CA 92054",5,4.84
47918,39,F,1/2/23,"406 S Walton Blvd, Bentonville, AR 72712",10,7.33
40128,23,F,1/2/23,"3550 S Stewart Ave, Springfield, MO 65807",17,3.96
45625,29,,1/2/23,"5450 New Hope Commons Dr, Durham, NC 27707",18,6.51
51503,33,F,1/2/23,"2988 Burkesville Rd, Columbia, KY 42728",15,6.54
45250,,F,1/2/23,"915 E Randol Mill Rd, Arlington, TX 76011",9,8.03
54891,18,F,1/2/23,"1900 S 1st St, Artesia, NM 88210",15,
43997,34,M,1/2/23,"300 Pleasant Grove Rd Ste 600, Mount Juliet, IL 61522",13,15.99
47476,35,F,1/2/23,"915 E Randol Mill Rd, Arlington, TX 76011",16,7.82
32966,26,F,1/3/23,"79295 CA-111, La Quinta, CA 92253",14,7
43872,,M,1/3/23,"175 Outer Loop, Louisville, KY 40214",8,9.53
29325,41,M,1/3/23,,13,5.86
43236,41,M,1/3/23,"5800 W 10th St, Indianapolis, IN 46224",17,3.71
53665,58,F,1/3/23,"6586 GA-40, St. Marys, GA 31558",14,6.02
48782,,M,1/3/23,"2465 Hempstead Tpke, East Meadow, NY 11554",8,6.56
67275,34,M,1/3/23,"1015 TX-80, San Marcos, TX 78666",6,8.47
56621,31,F,1/3/23,"615 S Cumberland St, Lebanon, TN 37087",10,8.13
36014,31,F,1/3/23,"585 N State St, Lindon, UT 84042",11,11.64
51605,25,F,1/3/23,"5335 US-280, Birmingham, AL 35242",10,13.5
45476,,F,1/3/23,"406 S Walton Blvd, Bentonville, AR 72712",6,15.42
58723,52,F,1/3/23,"9248 Parkway E, Birmingham, AL 35206",8,8.56
52809,47,F,1/3/23,"4208 Pleasant Crossing Blvd, Rogers, AR 72758",14,6.39
34055,34,F,1/3/23,"2901 Central Ave, Columbus, IN 47201",8,9.09
50519,18,M,1/3/23,"3550 S Stewart Ave, Springfield, MO 65807",10,
29325,32,F,1/3/23,"4424 Lebanon Pike, Hermitage, TN 37076",5,
56308,,F,1/3/23,,10,6
74034,27,M,1/3/23,"175 Outer Loop, Louisville, KY 40214",6,10.02
45146,43,F,1/3/23,"1000 W Nifong Blvd, Columbia, MO 65203",8,2.64
50818,36,F,1/3/23,"20 Ferguson Blvd, Dry Ridge, KY 41035",10,10.3
55639,29,F,1/3/23,"20 Ferguson Blvd, Dry Ridge, KY 41035",10,5.3
51093,36,M,1/3/23,,7,8.77
65615,40,F,1/3/23,"77 Green Acres Rd S, Valley Stream, NY 11581",10,3.84
59638,47,F,1/4/23,"3550 S Stewart Ave, Springfield, MO 65807",8,8.58
61096,36,M,1/4/23,"4424 Lebanon Pike, Hermitage, IL 37076",10,6.35
53996,34,,1/4/23,"765 Hurst St, Center, TX 75935",10,8.21
34768,18,F,1/4/23,"340 Norman Dr, Valdosta, GA 31601",8,9.37
61890,52,F,1/4/23,"5800 W 10th St, Indianapolis, IN 46224",15,3.74
66283,43,F,1/4/23,"5800 W 10th St, Indianapolis, IN 46224",11,17.51
59039,41,F,1/4/23,"1801 W Main St, West Plains, MO 65775",14,5.21
40103,27,F,1/4/23,"5511 Murfreesboro Rd, La Vergne, IL 37086",6,9.39
56153,47,F,1/4/23,"200 Walmart Way, Avon, IN 46123",13,5.97
41530,42,M,1/4/23,"150 Altama Connector, Brunswick, GA 31525",16,9.07
52139,46,,1/4/23,"2465 Hempstead Tpke, East Meadow, NY 11554",13,6.07
41646,20,M,1/4/23,"406 S Walton Blvd, Bentonville, AR 72712",8,8.55
47081,40,M,1/4/23,"5511 Murfreesboro Rd, La Vergne, IL 37086",6,7.28
47474,24,F,1/4/23,"4208 Pleasant Crossing Blvd, Rogers, AR 72758",10,5.02
50768,31,F,1/4/23,"10000 Coors Blvd NW, Albuquerque, NM 87114",17,4.96
46350,31,F,1/4/23,"1133 East-West Connector, Austell, GA 30106",10,15.95
52392,37,F,1/4/23,"32225 Temecula Pkwy, Temecula, CA 92592",8,8.46
70607,48,F,1/4/23,"2000 Old Fort Pkwy, Murfreesboro, IL 37129",10,5.56
38124,36,F,1/4/23,"4208 Pleasant Crossing Blvd, Rogers, AR 72758",13,7.84
60010,42,M,1/4/23,"150 Altama Connector, Brunswick, GA 31525",13,4.55
47753,43,F,1/4/23,"1600 Montclair Rd, Birmingham, AL 35210",8,4.87
59163,39,M,1/4/23,"304 S Rockwood Dr, Cabot, AR 72023",8,6.65
46776,40,F,1/5/23,"1550 Nashville Rd, Franklin, KY 42134",14,6.82
51795,39,M,1/5/23,"4424 Lebanon Pike, Hermitage, IL 37076",14,6.88
37630,43,M,1/5/23,"1900 S 1st St, Artesia, NM 88210",10,14.5
53665,37,M,1/5/23,"340 Norman Dr, Valdosta, GA 31601",14,17.91
50030,27,M,1/5/23,"5335 US-280, Birmingham, AL 35242",6,2.82
64926,28,M,1/5/23,"4208 Pleasant Crossing Blvd, Rogers, AR 72758",,3.04
59640,37,F,1/5/23,"1133 East-West Connector, Austell, GA 30106",6,13.12
45538,40,M,1/5/23,"2100 Chapel Hill Rd, Columbia, MO 65201",12,6.42
63149,22,M,1/5/23,"3550 S Stewart Ave, Springfield, MO 65807",7,9.32
65380,32,M,1/5/23,"1015 TX-80, San Marcos, TX 78666",14,11.06
56482,22,F,1/5/23,"2110 W Walnut St, Rogers, AR 72756",15,2.43
60490,26,M,1/5/23,"340 Norman Dr, Valdosta, GA 31601",10,6.56
62784,29,M,1/5/23,"5800 W 10th St, Indianapolis, IN 46224",17,8.9
44531,30,M,1/5/23,"1000 W Nifong Blvd, Columbia, MO 65203",11,6.91
47081,39,,1/5/23,"4424 Lebanon Pike, Hermitage, IL 37076",16,8.91
51329,41,M,1/5/23,"10000 Coors Blvd NW, Albuquerque, NM 87114",15,11.23
53191,27,M,1/5/23,"300 Pleasant Grove Rd Ste 600, Mount Juliet, TN 37122",12,10.07
56191,46,M,1/5/23,"4848 900 W, Riverdale, UT 84405",9,5.15
68314,55,F,1/5/23,,14,2.78
45261,18,M,1/5/23,"585 N State St, Lindon, UT 84042",18,8.38
42167,36,,1/5/23,"340 Norman Dr, Valdosta, GA 31601",10,24.74
51777,37,F,1/5/23,"1936 N Lecanto Hwy, Lecanto, FL 34461",11,6.75
51920,18,M,1/5/23,"340 Norman Dr, Valdosta, GA 31601",9,6.61
50212,39,F,1/5/23,"8322 Pineville-Matthews Rd, Charlotte, NC 28226",8,10.02
45499,39,F,1/5/23,"300 Pleasant Grove Rd Ste 600, Mount Juliet, IL 61522",19,7.85
46331,38,M,1/5/23,"2000 Old Fort Pkwy, Murfreesboro, IL 37129",11,3.94
63821,45,M,1/5/23,"204 N Anderson Ln, Hendersonville, TN 37075",6,19.04
43459,51,F,1/5/23,"1600 Montclair Rd, Birmingham, AL 35210",11,6.04
54824,24,F,1/5/23,"300 Pleasant Grove Rd Ste 600, Mount Juliet, TN 37122",15,4.63
54442,36,F,1/6/23,"300 Pleasant Grove Rd Ste 600, Mount Juliet, IL 61522",9,12.74
41151,41,M,1/6/23,"8151 E Washington St, Indianapolis, IN 46219",8,6.85
35862,44,M,1/6/23,"350 Hope Ave, Salt Lake City, UT 84115",12,4.27
47288,26,F,1/6/23,"2100 Vista Way, Oceanside, CA 92054",13,9.3
57257,51,F,1/6/23,"4424 Lebanon Pike, Hermitage, TN 37076",8,5.27
59694,45,F,1/6/23,"300 Pleasant Grove Rd Ste 600, Mount Juliet, IL 61522",13,
55562,31,M,1/6/23,"4424 Lebanon Pike, Hermitage, TN 37076",11,2.79
48529,23,M,1/6/23,"32225 Temecula Pkwy, Temecula, CA 92592",11,5.63
60005,30,M,1/6/23,"3550 S Stewart Ave, Springfield, MO 65807",,
48195,30,M,1/6/23,"1725 New Hope Church Rd, Raleigh, NC 27609",7,6.61
53991,37,F,1/6/23,"4424 Lebanon Pike, Hermitage, IL 37076",12,12.64
46968,31,,1/6/23,"6885 S Suncoast Blvd, Homosassa, FL 34446",14,4.73
56963,20,M,1/6/23,"5469 S Redwood Rd, Taylorsville, UT 84123",8,6.39
57368,32,F,1/6/23,"5511 Murfreesboro Rd, La Vergne, IL 37086",7,2.73
41963,44,M,1/6/23,"1015 TX-80, San Marcos, TX 78666",3,
62625,31,M,1/6/23,"32225 Temecula Pkwy, Temecula, CA 92592",14,17.49
51693,31,F,1/6/23,"585 N State St, Lindon, UT 84042",17,6.72
45544,30,F,1/6/23,"4208 Pleasant Crossing Blvd, Rogers, AR 72758",11,7.35
50557,25,M,1/7/23,"1861 S San Jacinto Ave, San Jacinto, CA 92583",12,3.18
57513,48,F,1/7/23,"1861 S San Jacinto Ave, San Jacinto, CA 92583",15,7
59648,38,F,1/7/23,"2100 Chapel Hill Rd, Columbia, MO 65201",13,2.39
74457,23,M,1/7/23,"2465 Hempstead Tpke, East Meadow, NY 11554",6,8.95
50822,31,M,1/7/23,"6885 S Suncoast Blvd, Homosassa, FL 34446",5,3.18
53109,41,M,1/7/23,"2100 88th St, North Bergen, NY 07047",11,4.59
47803,34,M,1/7/23,"6885 S Suncoast Blvd, Homosassa, FL 34446",14,13.21
47790,29,F,1/7/23,"2901 Central Ave, Columbus, IN 47201",11,11.16
44448,32,F,1/7/23,"300 Pleasant Grove Rd Ste 600, Mount Juliet, TN 37122",4,13.89
50928,30,F,1/7/23,"5511 Murfreesboro Rd, La Vergne, IL 37086",5,10.71
59531,25,M,1/7/23,"2800 NC-24 #87, Cameron, NC 28326",8,4.22
46975,43,F,1/7/23,"300 Pleasant Grove Rd Ste 600, Mount Juliet, IL 61522",17,7.97
55079,51,M,1/7/23,"350 Hope Ave, Salt Lake City, UT 84115",8,7.68
59192,22,M,1/7/23,"1936 N Lecanto Hwy, Lecanto, FL 34461",6,4.47
59495,41,F,1/7/23,"2100 Vista Way, Oceanside, CA 92054",14,6.7
50485,52,F,1/7/23,"1801 W Main St, West Plains, MO 65775",13,5.31
50480,,F,1/7/23,"5511 Murfreesboro Rd, La Vergne, IL 37086",9,5.81
43960,27,F,1/7/23,"200 Walmart Way, Avon, IN 46123",15,8.19
58576,,F,1/7/23,,12,15.19
53811,26,F,1/7/23,"2100 Chapel Hill Rd, Columbia, MO 65201",11,5.52
62130,26,F,1/7/23,"175 Outer Loop, Louisville, KY 40214",9,8.32
55609,20,M,1/7/23,"79295 CA-111, La Quinta, CA 92253",7,5.32
47918,38,F,1/7/23,"304 S Rockwood Dr, Cabot, AR 72023",13,12.86
68467,42,F,1/8/23,"300 Pleasant Grove Rd Ste 600, Mount Juliet, TN 37122",18,17.22
34433,47,F,1/8/23,"79295 CA-111, La Quinta, CA 92253",11,9.57
64093,38,F,1/8/23,"1900 S 1st St, Artesia, NM 88210",15,6.57
47865,37,F,1/8/23,"4208 Pleasant Crossing Blvd, Rogers, AR 72758",7,15.73
53098,46,F,1/8/23,"77 Green Acres Rd S, Valley Stream, NY 11581",11,8.09
63017,37,M,1/8/23,"300 Pleasant Grove Rd Ste 600, Mount Juliet, TN 37122",10,14.15
40667,47,M,1/8/23,"1936 N Lecanto Hwy, Lecanto, FL 34461",14,15.16
67722,25,F,1/8/23,"615 S Cumberland St, Lebanon, TN 37087",12,7.68
68767,40,M,1/8/23,"2901 Central Ave, Columbus, IN 47201",9,11.35
68657,47,F,1/8/23,"615 S Cumberland St, Lebanon, AL 37087",6,4.62
52240,51,F,1/8/23,"10000 Coors Blvd NW, Albuquerque, NM 87114",9,2.34
55705,30,M,1/8/23,"175 Outer Loop, Louisville, KY 40214",10,16.19
54477,27,M,1/8/23,"2100 Chapel Hill Rd, Columbia, MO 65201",8,
70574,52,F,1/8/23,"1861 S San Jacinto Ave, San Jacinto, CA 92583",12,7.22
45790,45,M,1/8/23,"5335 US-280, Birmingham, AL 35242",10,4.94
48656,19,M,1/8/23,"4424 Lebanon Pike, Hermitage, IL 37076",7,5.26
61965,18,M,1/8/23,"1801 W Main St, West Plains, MO 65775",11,10.29
39841,54,M,1/8/23,"2100 Chapel Hill Rd, Columbia, MO 65201",13,10.61
66420,46,F,1/8/23,"2110 W Walnut St, Rogers, AR 72756",18,3.52
49623,38,F,1/8/23,"1900 S 1st St, Artesia, NM 88210",9,4.4
