customer_id,age,gender,date,location,num_items,avg_price
47305,43.0,F,1/1/23,"1600 Montclair Rd, Birmingham, AL 35210",11.0,11.67
45339,22.0,F,1/1/23,"6885 S Suncoast Blvd, Homosassa, FL 34446",9.0,1.75
49117,35.0,M,1/1/23,"79295 CA-111, La Quinta, CA 92253",13.0,4.19
59531,52.0,F,1/1/23,"2800 NC-24 #87, Cameron, NC 28326",17.0,6.24
45476,40.0,F,1/1/23,"304 S Rockwood Dr, Cabot, AR 72023",8.0,8.15
57575,35.0,M,1/1/23,"5450 New Hope Commons Dr, Durham, NC 27707",7.0,10.69
47753,45.0,M,1/1/23,"5335 US-280, Birmingham, AL 35242",12.0,20.28
45169,28.0,F,1/1/23,"1900 S 1st St, Artesia, NM 88210",9.0,6.69
53506,50.0,F,1/1/23,"2461 E Gulf To Lake Hwy, Inverness, FL 34453",10.0,4.19
58968,19.0,M,1/1/23,"2400 W Picacho Ave, Las Cruces, NM 88007",12.0,13.86
41027,44.0,F,1/1/23,"340 Norman Dr, Valdosta, GA 31601",13.0,9.59
47808,18.0,M,1/1/23,"8322 Pineville-Matthews Rd, Charlotte, NC 28226",11.0,8.82
73146,34.0,F,1/1/23,"1550 Nashville Rd, Franklin, KY 42134",12.0,12.12
56696,39.0,M,1/1/23,"5469 S Redwood Rd, Taylorsville, UT 84123",17.0,9.08
42300,33.0,F,1/1/23,"204 N Anderson Ln, Hendersonville, TN 37075",9.0,11.17
52809,43.0,M,1/1/23,"304 S Rockwood Dr, Cabot, AR 72023",9.0,8.77
58563,23.0,M,1/1/23,"915 E Randol Mill Rd, Arlington, TX 76011",13.0,5.33
53615,32.0,M,1/1/23,"6100 Paseo Del Norte Blvd NE, Albuquerque, NM 87113",12.0,2.95
59246,54.0,M,1/1/23,"585 N State St, Lindon, UT 84042",8.0,11.25
30812,22.0,M,1/1/23,"9248 Parkway E, Birmingham, AL 35206",10.0,15.35
38732,36.0,M,1/1/23,"150 Altama Connector, Brunswick, GA 31525",10.0,9.13
64960,35.0,F,1/1/23,"300 Pleasant Grove Rd Ste 600, Mount Juliet, TN 37122",14.0,13.7
44965,27.0,M,1/1/23,"2100 Chapel Hill Rd, Columbia, MO 65201",16.0,4.46
52011,22.0,M,1/1/23,"5511 Murfreesboro Rd, La Vergne, IL 37086",10.0,21.26
56153,18.0,F,1/1/23,"200 Walmart Way, Avon, IN 46123",15.0,2.68
38086,47.0,F,1/2/23,"300 Pleasant Grove Rd Ste 600, Mount Juliet, IL 61522",9.0,4.52
51064,57.0,M,1/2/23,"32225 Temecula Pkwy, Temecula, CA 92592",12.0,3.99
44006,28.0,M,1/2/23,"1133 East-West Connector, Austell, GA 30106",8.0,13.05
31989,50.0,M,1/2/23,"2461 E Gulf To Lake Hwy, Inverness, FL 34453",10.0,8.0
37100,40.0,M,1/2/23,"304 S Rockwood Dr, Cabot, AR 72023",12.0,14.52
53673,53.0,M,1/2/23,"32225 Temecula Pkwy, Temecula, CA 92592",15.0,7.05
60830,41.0,M,1/2/23,"1861 S San Jacinto Ave, San Jacinto, CA 92583",10.0,3.71
46796,35.0,M,1/2/23,"2100 Vista Way, Oceanside, CA 92054",5.0,4.84
47918,39.0,F,1/2/23,"406 S Walton Blvd, Bentonville, AR 72712",10.0,7.33
40128,23.0,F,1/2/23,"3550 S Stewart Ave, Springfield, MO 65807",17.0,3.96
45625,29.0,F,1/2/23,"5450 New Hope Commons Dr, Durham, NC 27707",18.0,6.51
51503,33.0,F,1/2/23,"2988 Burkesville Rd, Columbia, KY 42728",15.0,6.54
45250,35.0,F,1/2/23,"915 E Randol Mill Rd, Arlington, TX 76011",9.0,8.03
54891,18.0,F,1/2/23,"1900 S 1st St, Artesia, NM 88210",15.0,7.4
43997,34.0,M,1/2/23,"300 Pleasant Grove Rd Ste 600, Mount Juliet, IL 61522",13.0,15.99
47476,35.0,F,1/2/23,"915 E Randol Mill Rd, Arlington, TX 76011",16.0,7.82
32966,26.0,F,1/3/23,"79295 CA-111, La Quinta, CA 92253",14.0,7.0
43872,35.0,M,1/3/23,"175 Outer Loop, Louisville, KY 40214",8.0,9.53
