transactionID,storeID,date,state,season,temperature,weather_condition,category,is_holiday,total_amount,profit_margin,items_count,payment_method,customer_type
TXN008602,ST005,1/1/23,IL,Winter,-3.1,Clear,Holiday Decorations,TRUE,212.34,0.2074,13,Credit Card,Regular
TXN005349,ST001,1/1/23,CA,Winter,5.7,Clear,Winter Clothing,TRUE,134.26,0.2351,2,Debit Card,Regular
TXN005896,ST002,1/1/23,TX,Winter,6.7,Partly Cloudy,Allergy Medicine,TRUE,70.42,0.3251,12,Credit Card,Regular
TXN005889,ST003,1/1/23,NY,Winter,12,Clear,Heaters,TRUE,65.29,0.2591,1,Digital Wallet,Regular
TXN004983,ST003,1/1/23,NY,Winter,3.7,Snow,Fall Clothing,TRUE,101.33,0.2457,2,Credit Card,New
TXN009176,ST004,1/1/23,FL,Winter,3.9,Cloudy,Hot Beverages,TRUE,181.33,0.2587,4,Credit Card,Regular
TXN009165,ST005,1/1/23,IL,Winter,4.9,Partly Cloudy,Sunscreen,TRUE,54.38,0.2458,11,Credit Card,Regular
TXN002862,ST004,1/1/23,FL,Winter,2.8,Cloudy,Spring Clothing,TRUE,73.59,0.2888,6,Cash,Regular
TXN006186,ST001,1/1/23,CA,Winter,11.7,Cold,Sunscreen,TRUE,107.15,0.2201,4,Credit Card,Regular
TXN004783,ST002,1/1/23,TX,Winter,5.8,Cool,Winter Clothing,TRUE,77.59,0.2925,14,Credit Card,Regular
TXN006759,ST005,1/1/23,IL,Winter,-0.1,Cold,Allergy Medicine,TRUE,52.7,0.2463,10,Credit Card,Premium
TXN003367,ST004,1/1/23,FL,Winter,14,Partly Cloudy,Holiday Decorations,TRUE,72.49,0.3272,12,Credit Card,Regular
TXN009566,ST001,1/1/23,CA,Winter,2.5,Cool,Holiday Decorations,TRUE,81.61,0.1919,4,Cash,Regular
TXN001224,ST003,1/1/23,NY,Winter,8,Rain,Holiday Decorations,TRUE,54.44,0.2094,7,Credit Card,Regular
TXN000358,ST001,1/1/23,CA,Winter,8.2,Snow,Hot Beverages,TRUE,83.26,0.2741,7,Debit Card,Regular
TXN000134,ST003,1/1/23,NY,Winter,-3.8,Cold,Hot Beverages,TRUE,159.92,0.2223,3,Digital Wallet,Regular
TXN004706,ST001,1/1/23,CA,Winter,-0.9,Clear,Holiday Decorations,TRUE,48.23,0.2557,6,Credit Card,Regular
TXN006350,ST002,1/1/23,TX,Winter,10.4,Cloudy,Snow Equipment,TRUE,181.88,0.2395,6,Credit Card,Regular
TXN002670,ST004,1/1/23,FL,Winter,14.4,Cool,Holiday Decorations,TRUE,145.78,0.2624,5,Cash,Regular
TXN008697,ST003,1/1/23,NY,Winter,2.3,Cool,Home Decor,TRUE,112.33,0.2377,5,Cash,Regular
TXN001974,ST002,1/1/23,TX,Winter,18.5,Mild,Sunscreen,TRUE,211.16,0.312,1,Cash,Regular
TXN001001,ST004,1/1/23,FL,Winter,15,Partly Cloudy,Heaters,TRUE,130.89,0.2655,3,Debit Card,Regular
TXN003891,ST003,1/1/23,NY,Winter,18.1,Rain,Winter Clothing,TRUE,87.89,0.2536,11,Debit Card,Regular
TXN006537,ST004,1/1/23,FL,Winter,0.4,Cold,Hot Beverages,TRUE,60.37,0.3128,11,Debit Card,Regular
TXN001673,ST005,1/2/23,IL,Winter,16.4,Rain,Yard Tools,FALSE,257.38,0.2152,6,Debit Card,Regular
TXN008269,ST003,1/2/23,NY,Winter,11.6,Clear,Winter Clothing,FALSE,133.16,0.2195,10,Debit Card,Regular
TXN002290,ST004,1/2/23,FL,Winter,9.4,Rain,Allergy Medicine,FALSE,82.94,0.2511,4,Credit Card,Regular
TXN007259,ST002,1/2/23,TX,Winter,4.9,Snow,Hot Beverages,FALSE,27.55,0.2912,12,Credit Card,Premium
TXN005173,ST001,1/2/23,CA,Winter,8.7,Rain,Hot Beverages,FALSE,69.83,0.151,4,Digital Wallet,New
TXN007852,ST001,1/2/23,CA,Winter,10.8,Clear,Heaters,FALSE,157.52,0.1967,3,Cash,Premium
TXN000891,ST005,1/2/23,IL,Winter,3,Cold,Hot Beverages,FALSE,90.94,0.2193,7,Digital Wallet,Regular
